Artist,Position,Title,Year
Janet Jackson,5,Miss You Much,1989
Paula Abdul,6,Cold Hearted,1989
Bette Midler,7,Wind Beneath My Wings,1989
Milli Vanilli,8,Girl You Know It's True,1989
Will To Power,9,"Baby, I Love Your Way / Freebird",1989
Anita Baker,10,Giving You the Best That I Got,1989
Richard Marx,11,Right Here Waiting,1989
Boy Meets Girl,12,Waiting for a Star to Fall,1989
Debbie Gibson,13,Lost In Your Eyes,1989
Gloria Estefan,14,Don't Wanna Lose You,1989
Warrant,15,Heaven,1989
Milli Vanilli,16,Girl I'm Gonna Miss You,1989
Roxette,17,The Look,1989
Fine Young Cannibals,18,She Drives Me Crazy,1989
Bobby Brown,19,On Our Own,1989
Phil Collins,20,Two Hearts,1989
Milli Vanilli,21,Blame It On The Rain,1989
Roxette,22,Listen to Your Heart,1989
Bon Jovi,23,I'll Be There for You,1989
Simply Red,24,If You Don't Know Me By Now,1989
Madonna,25,Like a Prayer,1989
New Kids On The Block,26,I'll Be Loving You (Forever),1989
Breathe,27,How Can I Fall?,1989
Milli Vanilli,28,Baby Don't Forget My Number,1989
Martika,29,Toy Soldiers,1989
Paula Abdul,30,Forever Your Girl,1989
Mike + the Mechanics,31,The Living Years,1989
The Bangles,32,Eternal Flame,1989
Tone Loc,33,Wild Thing,1989
Bad English,34,When I See You Smile,1989
Cher,35,If I Could Turn Back Time,1989
Neneh Cherry,36,Buffalo Stance,1989
Sheriff,37,When I'm With You,1989
Taylor Dayne,38,Don't Rush Me,1989
Bon Jovi,39,Born to Be My Baby,1989
Fine Young Cannibals,40,Good Thing,1989
Sheena Easton,41,The Lover In Me,1989
Young M.C.,42,Bust a Move,1989
Great White,43,Once Bitten Twice Shy,1989
Prince,44,Batdance,1989
Michael Damian,45,Rock On,1989
Jody Watley,46,Real Love,1989
52's,47,Love Shack - The B,1989
Bobby Brown,48,Every Little Step,1989
New Kids On The Block,49,Hangin' Tough,1989
Rod Stewart,50,My Heart Can't Tell You No,1989
Love and Rockets,51,So Alive,1989
New Kids On The Block,52,You've Got It (The Right Stuff),1989
Def Leppard,53,Armageddon It,1989
Richard Marx,54,Satisfied,1989
Madonna,55,Express Yourself,1989
Dino,56,I Like It,1989
Donny Osmond,57,Soldier of Love,1989
Tears For Fears,58,Sowing the Seeds of Love,1989
Madonna,59,Cherish,1989
White Lion,60,When the Children Cry,1989
Skid Row,61,18 and Life,1989
Duran Duran,62,I Don't Want Your Love,1989
.38 Special,63,Second Chance,1989
Karyn White,64,The Way You Love Me,1989
Tone Loc,65,Funky Cold Medina,1989
Bangles,66,In Your Room,1989
Natalie Cole,67,Miss You Like Crazy,1989
Cure,68,Love Song,1989
Karyn White,69,Secret Rendezvous,1989
Jeff Healey Band,70,Angel Eyes,1989
Guns N' Roses,71,Patience,1989
Eddie Money,72,Walk On Water,1989
New Kids On The Block,73,Cover Girl,1989
Guns N' Roses,74,Welcome to the Jungle,1989
Surface,75,Shower Me With Your Love,1989
R.E.M.,76,Stand,1989
Lita Ford,77,Close My Eyes Forever,1989
Tiffany,78,All This Time,1989
Cher and Peter Cetera,79,After All,1989
Bobby Brown,80,Roni,1989
Aerosmith,81,Love In An Elevator,1989
Bon Jovi,82,Lay Your Hands on Me,1989
When In Rome,83,The Promise,1989
Edie Brickell and The New Bohemians,84,What I Am,1989
Boys Club,85,I Remember Holding You,1989
Guns N' Roses,86,Paradise City,1989
Samantha Fox,87,I Wanna Have Some Fun,1989
Rick Astley,88,She Wants to Dance With Me,1989
Vanessa Williams,89,Dreamin',1989
Babyface,90,It's No Crime,1989
Alice Cooper,91,Poison,1989
Donna Summer,92,This Time I Know It's for Real,1989
Michael Jackson,93,Smooth Criminal,1989
Deon Estus,94,Heaven Help Me,1989
Bobby Brown,95,Rock Wit'cha,1989
fire,96,Thinking Of You - Sa,1989
Expose,97,What You Don't Know,1989
Ann Wilson and Robin Zander,98,Surrender to Me,1989
Don Henley,99,The End of the Innocence,1989
Soul II Soul,100,Keep On Movin',1989
Wilson Phillips,1,Hold On,1990
Roxette,2,It Must Have Been Love,1990
Sinéad O'Connor,3,Nothing Compares 2 U,1990
Bell Biv Devoe,4,Poison,1990
Madonna,5,Vogue,1990
Mariah Carey,6,Vision of Love,1990
Phil Collins,7,Another Day In Paradise,1990
En Vogue,8,Hold On,1990
Billy Idol,9,Cradle of Love,1990
Jon Bon Jovi,10,Blaze of Glory,1990
Bell Biv Devoe,11,Do Me!,1990
Michael Bolton,12,How Am I Supposed to Live Without You,1990
Technotronic,13,Pump Up The Jam,1990
Paula Abdul,14,Opposites Attract,1990
Janet Jackson,15,Escapade,1990
Heart,16,All I Wanna Do Is Make Love to You,1990
Maxi Priest,17,Close to You,1990
Alannah Myles,18,Black Velvet,1990
Wilson Phillips,19,Release Me,1990
Linda Ronstadt and Aaron Neville,20,Don't Know Much,1990
Lisa Stansfield,21,All Around the World,1990
Calloway,22,I Wanna Be Rich,1990
Johnny Gill,23,Rub You the Right Way,1990
Glenn Medeiros featuring Bobby Brown,24,She Ain't Worth It,1990
Sweet Sensation,25,If Wishes Came True,1990
Snap,26,The Power,1990
Nelson,27,(Can't Live Without Your) Love and Affection,1990
Taylor Dayne,28,Love Will Lead You Back,1990
Jane Child,29,Don't Wanna Fall In Love,1990
Seduction,30,Two to Make It Right,1990
Linear,31,Sending All My Love,1990
Poison,32,Unskinny Bop,1990
New Kids On The Block,33,Step By Step,1990
Roxette,34,Dangerous,1990
Billy Joel,35,We Didn't Start the Fire,1990
James Ingram,36,I Don't Have the Heart,1990
Rod Stewart,37,Downtown Train,1990
Janet Jackson,38,Rhythm Nation,1990
Tommy Page,39,I'll Be Your Everything,1990
52's,40,Roam - The B,1990
Jody Watley,41,Everything,1990
Soul II Soul,42,Back to Life,1990
Luther Vandross,43,Here and Now,1990
Janet Jackson,44,Alright,1990
Vanilla Ice,45,Ice Ice Baby,1990
Milli Vanilli,46,Blame It On The Rain,1990
M.C. Hammer,47,Have You Seen Her,1990
Taylor Dayne,48,With Every Beat of My Heart,1990
Janet Jackson,49,Come Back to Me,1990
Michel'le,50,No More Lies,1990
George Michael,51,Praying for Time,1990
Michael Bolton,52,How Can We Be Lovers,1990
Phil Collins,53,Do You Remember?,1990
After 7,54,Ready or Not,1990
M.C. Hammer,55,U Can'T Touch This,1990
Phil Collins,56,I Wish It Would Rain Down,1990
Lou Gramm,57,Just Between You and Me,1990
Phil Collins,58,Something Happened On the Way to Heaven,1990
Janet Jackson,59,Black Cat,1990
After 7,60,Can't Stop,1990
Aerosmith,61,Janie's Got a Gun,1990
Digital Underground,62,The Humpty Dance,1990
Taylor Dayne,63,I'll Be Your Shelter,1990
Tom Petty,64,Free Fallin',1990
Pebbles,65,Giving You the Benefit,1990
Depeche Mode,66,Enjoy the Silence,1990
Tesla,67,Love In Vain,1990
Bad English,68,Price of Love,1990
Tyler Collins,69,Girls Nite Out,1990
Go West,70,The King of Wishful Thinking,1990
Chicago,71,What Kind of Man Would I Be?,1990
Skid Row,72,I Remember You,1990
Technotroic,73,Get Up (Before the Night Is Over),1990
Gloria Estefan,74,Here We Are,1990
Faith No More,75,Epic,1990
Mariah Carey,76,Love Takes Time,1990
Cher,77,Just Like Jesse James,1990
52's,78,Love Shack - The B,1990
Milli Vanilli,79,Girl You Know It's True,1990
Dino,80,Romeo,1990
Black Box,81,Everybody Everybody,1990
Billy Joel,82,I Go to Extremes,1990
Babyface,83,Whip Appeal,1990
Paul Young,84,Oh Girl,1990
Mob With Cathy Dennis,85,C'mon and Get My Love - D,1990
Paula Abdul,86,The Way That You Love Me,1990
Cover Girls,87,We Can't Go Wrong,1990
Michael Bolton,88,When I'm Back On My Feet Again,1990
Keith Sweat,89,Make You Sweat,1990
New Kids On The Block,90,This One's for the Children,1990
Aerosmith,91,What It Takes,1990
Kiss,92,Forever,1990
The Time,93,Jerk Out,1990
Biz Markie,94,Just a Friend,1990
A'me Lorain,95,Whole Wide World,1990
Mötley Crüe,96,Without You,1990
Jive Bunny and The Mastermixers,97,Swing The Mood,1990
Prince,98,Thieves In the Temple,1990
Mellow Man Ace,99,Mentirosa,1990
Kyper,100,Tic Tac Toe,1990
Bryan Adams,1,(Everything I Do) I Do It for You,1991
Color Me Badd,2,I Wanna Sex You Up,1991
C+C Music Factory,3,Gonna Make You Sweat (Everybody Dance Now),1991
Paula Abdul,4,"Rush, Rush",1991
Timmy T,5,One More Try,1991
EMF,6,Unbelievable,1991
Extreme,7,More Than Words,1991
Five,8,I Like the Way (The Kissing Game) - Hi,1991
Surface,9,The First Time,1991
Amy Grant,10,"Baby, Baby",1991
Boyz II Men,11,Motownphilly,1991
Stevie B,12,Because I Love You (The Postman Song),1991
Mariah Carey,13,Someday,1991
Damn Yankees,14,High Enough,1991
Bette Midler,15,From a Distance,1991
Whitney Houston,16,All the Man That I Need,1991
Jesus Jones,17,Right Here Right Now,1991
Color Me Badd,18,I Adore Mi Amor,1991
Janet Jackson,19,Love Will Never Do (Without You),1991
Marky Mark and The Funky Bunch Featuring Loleatta Holloway,20,Good Vibrations,1991
Madonna,21,Justify My Love,1991
Mariah Carey,22,Emotions,1991
Roxette,23,Joyride,1991
Karyn Whit,24,Romantic,1991
Mariah Carey,25,I Don't Wanna Cry,1991
Tara Kemp,26,Hold You Tight,1991
Wilson Phillips,27,You're In Love,1991
Amy Grant,28,Every Heartbeat,1991
Ralph Tresvant,29,Sensitivity,1991
Cathy Dennis,30,Touch Me (All Night Long),1991
Londonbeat,31,I've Been Thinking About You,1991
Natural Selection,32,Do Anything (feat. Niki Harris),1991
R.E.M.,33,Losing My Religion,1991
Gloria Estefan,34,Coming Out of the Dark,1991
C+C Music Factory,35,"Here We Go, Let's Rock & Roll",1991
Lenny Kravitz,36,It Ain't Over Til It's Over,1991
Celine Dion,37,Where Does My Heart Beat Now,1991
D.J. Jazzy Jeff and The Fresh Prince,38,Summertime,1991
Scorpions,39,Wind of Change,1991
Rhythm Syndicate,40,P.A.S.S.I.O.N.,1991
Paula Abdul,41,The Promise of a New Day,1991
Whitney Houston,42,I'm Your Baby Tonight,1991
Firehouse,43,Love of a Lifetime,1991
Roxette,44,Fading Like a Flower (Every Time You Leave),1991
Tracie Spencer,45,In This House,1991
Extreme,46,Hole Hearted,1991
Luther Vandross,47,Power of Love / Love Power,1991
Wilson Phillips,48,Impulsive,1991
Michael Bolton,49,Love Is a Wonderful Thing,1991
Rod Stewart,50,Rhythm of My Heart,1991
C+C Music Factory,51,Things That Make You Go Hmmmm....,1991
Divinyls,52,I Touch Myself,1991
DNA featuring Suzanne Vega,53,Tom's Diner,1991
Another Bad Creation,54,Iesha,1991
Bonnie Raitt,55,Something to Talk About,1991
Nelson,56,After the Rain,1991
Vanilla Ice,57,Play That Funky Music,1991
Corina,58,Temptation,1991
Bryan Adams,59,Can't Stop This Thing We Started,1991
Five,60,I Can't Wait Another Minute - Hi,1991
The KLF,61,3 A.M. Eternal,1991
Michael Bolton,62,"Time, Love and Tenderness",1991
Enigma,63,"Sadeness, Pt. 1",1991
LL Cool J,64,Around the Way Girl,1991
Escape Club,65,I'll Be There,1991
Prince and The N.P.G.,66,Cream,1991
Heavy D. and The Boyz,67,Now That We Found Love,1991
Styx,68,Show Me the Way,1991
Mariah Carey,69,Love Takes Time,1991
Rick Astley,70,Cry for Help,1991
UB40,71,The Way You Do the Things You Do,1991
UB40,72,Here I Am (Come and Take Me),1991
Tesla,73,Signs,1991
Cathy Dennis,74,Too Many Walls,1991
Seal,75,Crazy,1991
Keith Sweat,76,I'll Give All My Love to You,1991
Michael W. Smith,77,Place In This World,1991
Poison,78,Something to Believe In,1991
Chris Issak,79,Wicked Game,1991
Oleta Adams,80,Get Here,1991
Tevin Campbell,81,Round and Round,1991
Queensryche,82,Silent Lucidity,1991
Will To Power,83,I'm Not In Love,1991
Tara Kemp,84,Piece of My Heart,1991
Jesus Jones,85,Real Real Real,1991
Cathy Dennis,86,Just Another Dream,1991
Aaron Neville,87,Everybody Plays the Fool,1991
Black Box,88,Strike It U,1991
Gerardo,89,Rico Suave,1991
INXS,90,Disappear,1991
Lite,91,Groove Is In the Heart - Deee,1991
Sting,92,All This Time,1991
Chesney Hawkes,93,The One and Only,1991
Naughty By Nature,94,O.P.P.,1991
George Michael,95,Freedom! '90,1991
Warrant,96,I Saw Red,1991
Winger,97,Miles Away,1991
Pepa,98,Do You Want Me - Salt-N,1991
Rod Stewart,99,The Motown Song,1991
R.E.M.,100,Shiny Happy People,1991
Boyz II Men,1,End of the Road,1992
Lot,2,Baby Got Back - Sir Mix A,1992
Kris Kross,3,Jump,1992
Vanessa Williams,4,Save the Best for Last,1992
TLC,5,Baby-Baby-Baby,1992
Eric Clapton,6,Tears In Heaven,1992
En Vogue,7,My Lovin' (You're Never Gonna Get It),1992
Red Hot Chili Peppers,8,Under the Bridge,1992
Color Me Badd,9,All 4 Love,1992
Jon Secada,10,Just Another Day,1992
Shanice,11,I Love Your Smile,1992
Mr. Big,12,To Be With You,1992
Right Said Fred,13,I'm Too Sexy,1992
Michael Jackson,14,Black or White,1992
Billy Ray Cyrus,15,Achy Breaky Heart,1992
Mariah Carey,16,I'll Be There,1992
Guns N' Roses,17,November Rain,1992
Tom Cochrane,18,Life Is a Highway,1992
Michael Jackson,19,Remember the Time,1992
CeCe Peniston,20,Finally,1992
Madonna,21,This Used to Be My Playground,1992
Patty Smyth,22,Sometimes Love Just Ain't Enough,1992
Mariah Carey,23,Can't Let Go,1992
House Of Pain,24,Jump Around,1992
Prince and The N.P.G.,25,Diamonds and Pearls,1992
George Michael and Elton John,26,Don't Let the Sun Go Down On Me,1992
Atlantic Starr,27,Masterpiece,1992
Celine Dion,28,If You Asked Me To,1992
En Vogue,29,Giving Him Something He Can Feel,1992
Joe Public,30,Live and Learn,1992
Jodeci,31,Come & Talk to Me,1992
Nirvana,32,Smells Like Teen Spirit,1992
Bobby Brown,33,Humpin' Around,1992
Sophie B. Hawkins,34,Damn I Wish I Was Your Lover,1992
Teven Campbell,35,Tell Me What You Want Me to Do,1992
TLC,36,Ain't 2 Proud 2 Beg,1992
Boyz II Men,37,It's So Hard to Say Goodbye to Yesterday,1992
Technotronic,38,Move This,1992
Queen,39,Bohemian Rhapsody,1992
Arrested Development,40,Tennessee,1992
Luther Vandross and Janet Jackson,41,The Best Things In Life Are Free,1992
Mariah Carey,42,Make It Happen,1992
Elton John,43,The One,1992
P.M. Dawn,44,Set Adrift On Memory Bliss,1992
Shakespear's Sister,45,Stay,1992
Hammer,46,2 Legit 2 Quit,1992
K.W.S.,47,Please Don't Go,1992
Mint Condition,48,Breakin' My Heart (Pretty Brown Eyes),1992
Cover Girls,49,Wishing On a Star,1992
Five,50,She's Playing Hard to Get - Hi,1992
P.M. Dawn,51,I'd Die Without You,1992
Amy Grant,52,Good for Me,1992
Toad The Wet Sprocket,53,All I Want,1992
Michael Bolton,54,When a Man Loves a Woman,1992
Genesis,55,I Can't Dance,1992
Richard Marx,56,Hazard,1992
U2,57,Mysterious Ways,1992
George Michael,58,Too Funky,1992
The Heights,59,How Do You Talk to an Angel,1992
U2,60,One,1992
CeCe Peniston,61,Keep On Walkin',1992
Genesis,62,Hold On My Heart,1992
Karyn White,63,The Way I Feel About You,1992
Céline Dion and Peabo Bryson,64,Beauty and the Beast,1992
Kris Kross,65,Warm It Up,1992
Michael Jackson,66,In the Closet,1992
Arrested Development,67,People Everyday,1992
Genesis,68,No Son of Mine,1992
Marky Mark and The Funky Bunch,69,Wildside,1992
Bryan Adams,70,Do I Have to Say the Words?,1992
The Cure,71,Friday I'm In Love,1992
Ugly Kid Joe,72,Everything About You,1992
Paula Abdul,73,Blowing Kisses in the Wind,1992
Bryan Adams,74,Thought I'd Died and Gone to Heaven,1992
Snap,75,Rhythm Is a Dancer,1992
Hammer,76,Addams Groove,1992
Michael Bolton,77,Missing You Now,1992
N2Deep,78,Back to the Hotel,1992
Kathy Troccoli,79,Everything Changes,1992
Def Leppard,80,Have You Ever Needed Someone So Bad,1992
Richard Marx,81,Take This Heart,1992
Firehouse,82,When I Look Into Your Eyes,1992
Jade,83,I Wanna Love You,1992
Boyz II Men,84,Uhh Ahh,1992
Mary J. Blige,85,Real Love,1992
The KLF,86,Justified & Ancient (Stand by the Jams) [Extended Version] [feat. Tammy Wynette],1992
Color Me Badd,87,Slow Motion,1992
TLC,88,What About Your Friends,1992
Color Me Badd,89,Thinkin' Back,1992
Charles and Eddie,90,Would I Lie to You?,1992
Amy Grant,91,That's What Love Is For,1992
Richard Marx,92,Keep Coming Back,1992
En Vogue,93,Free Your Mind,1992
Keith Sweat,94,Keep It Comin',1992
Mr. Big,95,Just Take My Heart,1992
Amy Grant,96,I Will Remember You,1992
CeCe Peniston,97,We Got a Love Thang,1992
Def Leppard,98,Let's Get Rocked,1992
Das EFX,99,They Want EFX,1992
Bonnie Raitt,100,I Can't Make You Love Me,1992
Whitney Houston,1,I Will Always Love You,1993
Tag Team,2,Whoomp! (There It Is),1993
UB40,3,(I Can't Help) Falling In Love With You,1993
Janet Jackson,4,That's the Way Love Goes,1993
Silk,5,Freak Me,1993
SWV,6,Weak,1993
Shai,7,If I Ever Fall In Love,1993
Mariah Carey,8,Dreamlover,1993
Effect,9,Rump Shaker - Wreckx-N,1993
Snow,10,Informer,1993
Dr. Dre,11,"Nuthin' But A ""G"" Thang",1993
Boyz II Men,12,In the Still of the Nite (I'll Remember),1993
Jade,13,Don't Walk Away,1993
Town,14,Knockin' Da Boots - H,1993
Jodeci,15,Lately,1993
Duice,16,Dazzey Duks,1993
Robin S.,17,Show Me Love,1993
Peabo Bryson & Regina Belle,18,A Whole New World (Aladdin's Theme),1993
Janet Jackson,19,If,1993
SWV,20,I'm So Into You,1993
Vanessa Willlams and Brian Mcknight,21,Love Is,1993
Soul Asylum,22,Runaway Train,1993
Exposé,23,I'll Never Get Over You Getting Over Me,1993
Paperboy,24,The Ditty (All Because of You),1993
Snap,25,Rhythm Is a Dancer,1993
Billy Joel,26,The River of Dreams,1993
The Proclaimers,27,I'm Gonna Be (500 Miles),1993
Spin Doctors,28,Two Princes,1993
SWV,29,Right Here,1993
Whitney Houston,30,I Have Nothing,1993
Arrested Development,31,Mr Wendal,1993
Rod Stewart,32,Have I Told You Lately,1993
Shanice,33,Saving Forever for You,1993
Duran Duran,34,Ordinary World,1993
Tony! Toni! Toné!,35,If I Had No Loot - Sons of Soul,1993
Meat Loaf,36,I'd Do Anything for Love (But I Won't Do That),1993
Onyx,37,Slam,1993
P.M. Dawn,38,Looking Through Patient Eyes,1993
Whitney Houston,39,I'm Every Woman,1993
Shai,40,Baby I'm Yours,1993
Duran Duran,41,Come Undone,1993
Tina Turner,42,I Don't Wanna Fight,1993
P.M. Dawn,43,I'd Die Without You,1993
95 South,44,"Whoot, There It Is",1993
Naughty By Nature,45,Hip Hop Hooray,1993
Toni Braxton,46,Another Sad Love Song,1993
Michael Jackson,47,Will You Be There,1993
Shai,48,Comforter,1993
Bobby Brown,49,Good Enough,1993
4 Non Blondes,50,What's Up?,1993
Ace Of Base,51,All That She Wants,1993
Prince and The New Power Generation,52,7,1993
Dr. Dre,53,Dre Day,1993
Brian McKnight,54,One Last Cry,1993
Xscape,55,Just Kickin' It,1993
2Pac,56,I Get Around,1993
Bon Jovi,57,Bed of Roses,1993
Mary J. Blige,58,Real Love,1993
Portrait,59,Here We Go Again!,1993
Aerosmith,60,Cryin',1993
Ugly Kid Joe,61,Cats in the Cradle,1993
TLC,62,What About Your Friends,1993
Positive K,63,I Got a Man,1993
Zhane,64,Hey Mr. D.J.,1993
Cypress Hill,65,Insane In the Brain,1993
Madonna,66,Deeper and Deeper,1993
Madonna,67,Rain,1993
Jeremy Jordan,68,The Right Kind of Love,1993
Inner Circle,69,Bad Boys,1993
Boy Krazy,70,That's What Love Can Do,1993
Jon Secada,71,Do You Believe In Us,1993
Jon Secada,72,Angel,1993
Kenny G,73,Forever In Love,1993
Janet Jackson,74,Again,1993
DJ Jazzy Jeff and Fresh Prince,75,Boom! Shake the Room,1993
Restless Heart,76,When She Cries,1993
Inner Circle,77,Sweat (A La La La La Long),1993
Ice Cube,78,It Was a Good Day,1993
Captain Hollywood Project,79,More & More,1993
The Heights,80,How Do You Talk to an Angel,1993
Digable Planets,81,Rebirth of Slick (Cool Like Dat),1993
Haddaway,82,What Is Love,1993
Michael Bolton,83,To Love Somebody,1993
En Vogue,84,"Give It Up, Turn It Loose",1993
Kris Kross,85,Alright,1993
Ice Cube,86,Check Yo Self,1993
Sting,87,Fields of Gold,1993
Dino,88,Ooh Child,1993
Go West,89,Faithful,1993
Rod Stewart,90,Reason to Believe,1993
Tears For Fears,91,Break It Down Again,1993
Joey Lawrence,92,Nothin' My Love Can't Fix,1993
Green Jelly,93,Three Little Pigs,1993
Aerosmith,94,Livin' On the Edge,1993
Gin Blossoms,95,Hey Jealousy,1993
Sting,96,If I Ever Lose My Faith in You,1993
Tony! Toni! Toné!,97,Anniversary - Sons of Soul,1993
Jade,98,One Woman,1993
Taylor Dayne,99,Can't Get Enough of Your Love,1993
Def Leppard,100,Two Steps Behind,1993
Ace Of Base,1,The Sign,1994
One,2,I Swear - All-4,1994
Boyz II Men,3,I'll Make Love to You,1994
Céline Dion,4,The Power of the Dream,1994
Mariah Carey,5,Hero,1994
Lisa Loeb and Nine Stories,6,Stay (I Missed You),1994
Toni Braxton,7,Breathe Again,1994
"Bryan Adams, Rod Stewart and Sting",8,All for Love,1994
Ace Of Base,9,All That She Wants,1994
Ace Of Base,10,Don't Turn Around,1994
R. Kelly,11,Bump 'n' Grind,1994
Janet Jackson,12,Again,1994
Madonna,13,I'll Remember,1994
Pepa,14,Whatta Man - Salt-N,1994
John Mellencamp and Me'shell Ndegeocello,15,Wild Night,1994
Mariah Carey,16,Without You / Never Forget You,1994
Toni Braxton,17,You Mean the World to Me,1994
Elton John,18,Can You Feel The Love Tonight,1994
Prince (Symbol),19,The Most Beautiful Girl In the World,1994
Coolio,20,Fantastic Voyage,1994
Big Mountain,21,"Baby, I Love Your Way",1994
Warren G and Nate Dogg,22,Regulate,1994
Jon Secada,23,If You Go,1994
Aaliyah,24,Back & Forth,1994
Richard Marx,25,Now and Forever,1994
Babyface,26,When Can I See You,1994
Bryan Adams,27,Please Forgive Me,1994
One,28,So Much In Love - All-4,1994
Pepa,29,Shoop - Salt-N,1994
Janet Jackson,30,"Any Time, Any Place / And On And On",1994
Collective Soul,31,Shine,1994
Michael Bolton,32,Said I Loved You... But I Lied,1994
Enigma,33,Return To Innocence,1994
Sheryl Crow,34,All I Wanna Do,1994
Crash Test Dummies,35,Mmm Mmm Mmm Mmm,1994
Tevin Campbell,36,Can We Talk,1994
Da Brat,37,Funkdafied,1994
Meat Loaf,38,I'd Do Anything for Love (But I Won't Do That),1994
DRS,39,Gangsta Lean,1994
"10,000 Maniacs",40,Because the Night,1994
Us3,41,Cantaloop (Flip Fantasia),1994
Tag Team,42,Whoomp! (There It Is),1994
Melissa Etheridge,43,Come to My Window,1994
Changing Faces,44,Stroke You Up,1994
Tevin Campbell,45,I'm Ready,1994
Crystal Waters,46,100% Pure Love,1994
Mariah Carey,47,Anytime You Need a Friend,1994
Janet Jackson,48,Because of Love,1994
Cranberries,49,Linger,1994
Beck,50,Loser,1994
Gin Blossoms,51,Found Out About You,1994
Snoop Doggy Dogg,52,Gin & Juice,1994
Immature,53,Never Lie,1994
Bruce Springsteen,54,Streets of Philadelphia,1994
Domino,55,Getto Jam,1994
Luther Vandross and Mariah Carey,56,Endless Love,1994
Aaron Hall,57,I Miss You,1994
Xscape,58,Understanding,1994
Warren G,59,This D.J.,1994
Jodeci,60,Cry for You,1994
2Pac,61,Keep Ya Head Up,1994
Snoop Doggy Dogg,62,Who Am I (What's My Name)?,1994
Real McCoy,63,Another Night,1994
R. Kelly,64,Your Body's Callin',1994
69 Boyz,65,Tootsee Roll,1994
Jimmy Cliff,66,I Can See Clearly Now,1994
Babyface,67,Never Keeping Secrets,1994
Aerosmith,68,Crazy,1994
Xscape,69,Just Kickin' It,1994
Aaliyah,70,At Your Best You Are Love,1994
Meat Loaf,71,Rock and Roll Dreams Come Through,1994
Aerosmith,72,Amazing,1994
Erasure,73,Always,1994
Zhané,74,Groove Thang,1994
Gabrielle Lee,75,Dreams,1994
Culture Beat,76,Mr. Vain,1994
Tom Petty and The Heartbreakers,77,Mary Jane's Last Dance,1994
SWV,78,Anything,1994
Joshua Kadison,79,Beautiful in My Eyes,1994
Eternal,80,Stay,1994
Craig Mack,81,Flava In Ya Ear,1994
Queen Latifah,82,U.N.I.T.Y.,1994
Seal,83,Prayer for the Dying,1994
Madonna,84,Secret,1994
Ini Kamoze,85,Here Comes the Hotstepper,1994
Phil Collins,86,Everyday,1994
Tim McGraw,87,Don't Take the Girl,1994
Heavy D and The Boyz,88,Got Me Waiting,1994
The Four Seasons,89,"December, 1963 (Oh What a Night!)",1994
Tim McGraw,90,Indian Outlaw,1994
Bon Jovi,91,Always,1994
Melissa Etheridge,92,I'm the Only One,1994
Ahmad,93,Back In the Day,1994
Bonnie Raitt,94,Love Sneakin' Up On You,1994
General Public,95,I'll Take You There,1994
Tevin Campbell,96,Always In My Heart,1994
Haddaway,97,What Is Love,1994
Babyface,98,And Our Feelings,1994
Ice Cube,99,Bop Gun (One Nation),1994
Brandy,100,I Wanna Be Down,1994
Coolio,1,Gangsta's Paradise,1995
TLC,2,Waterfalls,1995
TLC,3,Creep,1995
Seal,4,Kiss from a Rose,1995
Boyz II Men,5,On Bended Knee,1995
Real McCoy,6,Another Night,1995
Mariah Carey,7,Fantasy,1995
Madonna,8,Take a Bow,1995
Monica,9,Don't Take It Personal (Just One of Dem Days),1995
Montell Jordan,10,This Is How We Do It,1995
Dionne Farris,11,I Know,1995
Boyz II Men,12,Water Runs Dry,1995
Adina Howard,13,Freak Like Me,1995
Blues Traveler,14,Run-Around,1995
One,15,I Can Love You Like That - All-4,1995
Bryan Adams,16,Have You Ever Really Loved a Woman?,1995
Bon Jovi,17,Always,1995
Shaggy,18,Boombastic / In the Summertime,1995
Nicki French,19,Total Eclipse of the Heart,1995
Des'ree,20,You Gotta Be,1995
Michael Jackson,21,You Are Not Alone,1995
Hootie and The Blowfish,22,Hold My Hand,1995
The Notorious B.I.G.,23,One More Chance / Stay With Me,1995
Ini Kamoze,24,Here Comes the Hotstepper,1995
Soul For Real,25,Candy Rain,1995
Hootie and The Blowfish,26,Let Her Cry,1995
Blessid Union Of Souls,27,I Believe,1995
TLC,28,Red Light Special,1995
Janet Jackson,29,Runaway,1995
Sheryl Crow,30,Strong Enough,1995
Vanessa Williams,31,Colors of the Wind,1995
Jon B.,32,Someone to Love,1995
Hootie and The Blowfish,33,Only Wanna Be With You,1995
Brownstone,34,If You Love Me,1995
Martin Page,35,In The House of Stone and Light,1995
Luniz,36,I Got 5 on It,1995
Brandy,37,Baby,1995
Real McCoy,38,Run Away,1995
Sophie B. Hawkins,39,As I Lay Me Down,1995
Mokenstef,40,He's Mine,1995
Collective Soul,41,December,1995
Mary J. Blige and Method Man,42,I'll Be There for You / You're All I Need to Get By,1995
Diana King,43,Shy Guy,1995
Melissa Etheridge,44,I'm the Only One,1995
Soul For Real,45,Every Little Thing I Do,1995
BLACKstreet,46,Before I Let You Go,1995
The Notorious B.I.G.,47,Big Poppa / Warning,1995
4 PM (For Positive Music),48,Sukiyaki,1995
Brandy,49,I Wanna Be Down,1995
Boyz II Men,50,I'll Make Love to You,1995
2Pac,51,Dear Mama / Old School,1995
Jamie Walters,52,Hold On,1995
Dr. Dre,53,Keep Their Heads Ringin',1995
Corona,54,The Rhythm of the Night,1995
Del Amitri,55,Roll to Me,1995
Michael Jackson and Janet Jackson,56,Scream / Childhood,1995
